Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2015","2015","kg/ha","738.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2016","2016","kg/ha","1176.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2017","2017","kg/ha","1058.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2018","2018","kg/ha","1191.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2019","2019","kg/ha","920.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2020","2020","kg/ha","976.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2021","2021","kg/ha","1069.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2022","2022","kg/ha","1145.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1996","1996","kg/ha","2482.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1997","1997","kg/ha","2678.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1998","1998","kg/ha","2485.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1999","1999","kg/ha","2590.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2000","2000","kg/ha","2778.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2001","2001","kg/ha","2708.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2002","2002","kg/ha","2762.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2003","2003","kg/ha","2610","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2004","2004","kg/ha","2713.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2005","2005","kg/ha","2601.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2006","2006","kg/ha","2618.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2007","2007","kg/ha","2707.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2008","2008","kg/ha","2802.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2009","2009","kg/ha","2907.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2010","2010","kg/ha","2839.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2011","2011","kg/ha","2988.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2012","2012","kg/ha","3177.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2013","2013","kg/ha","3153.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2014","2014","kg/ha","3145.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2015","2015","kg/ha","2749.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2016","2016","kg/ha","3033.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2017","2017","kg/ha","3199.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2018","2018","kg/ha","3368.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2019","2019","kg/ha","3533.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2020","2020","kg/ha","3439.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2021","2021","kg/ha","3520.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2022","2022","kg/ha","3537.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","1996","1996","kg/ha","2868.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","1997","1997","kg/ha","2804.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","1998","1998","kg/ha","2893","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","1999","1999","kg/ha","3074.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2000","2000","kg/ha","3031.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2001","2001","kg/ha","2754.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2002","2002","kg/ha","3019.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2003","2003","kg/ha","2955.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2004","2004","kg/ha","2991.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2005","2005","kg/ha","3174.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2006","2006","kg/ha","3160.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2007","2007","kg/ha","3317.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2008","2008","kg/ha","3519.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2009","2009","kg/ha","3580.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2010","2010","kg/ha","3058.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2011","2011","kg/ha","3593.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2012","2012","kg/ha","3596.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2013","2013","kg/ha","3752.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2014","2014","kg/ha","3633.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2015","2015","kg/ha","3724","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2016","2016","kg/ha","3771.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2017","2017","kg/ha","3852.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2018","2018","kg/ha","3842.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2019","2019","kg/ha","3665.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0113","Rice","2020","2020","kg/ha","3786.3","A","Official figure",""
